"track_name","released_year","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","mode","energy","instrumentalness","liveness","speechiness"
"AMARGURA",2023,1133,"39",153372011,14,71,107,"Minor",70,0,15,7
"(It Goes Like) Nanana - Edit",2023,2259,"59",57876440,0,0,130,"Minor",88,19,8,4
"Another Love",2012,18371,"83",1813673666,250,122,123,"Minor",54,0,9,4
"Blinding Lights",2019,43899,"69",3703895074,672,199,171,"Major",80,0,9,7
"Moonlight",2023,2649,"42",256483385,67,79,137,"Minor",72,0,17,5
"La Bachata",2022,6804,"45",1214083358,139,111,125,"Minor",68,0,22,4
"S91",2023,525,"41",16011326,34,115,128,"Minor",72,0,9,19
"cardigan",2020,7923,"29",812019557,106,112,130,"Minor",58,0,27,4
"Too",2023,731,"15",111947664,27,17,130,"Major",96,1,9,5
"Boy's a liar Pt. 2",2023,5184,"41",156338624,154,84,133,"Major",81,0,25,5
"Left and Right (Feat. Jung Kook of BTS)",2022,3107,"39",720434240,38,0,101,"Major",59,0,9,3
"BESO",2023,4053,"50",357925728,82,121,95,"Minor",64,0,17,14
"Hey Mor",2022,4637,"38",674072710,63,79,98,"Minor",59,0,10,29
"Yellow",1999,31358,"43",1755214421,196,2,173,"Major",66,0,23,3
"Karma",2022,3818,"23",404562836,37,55,90,"Major",62,0,48,7
"People",2022,3506,"56",373199958,105,64,198,"Minor",42,0,10,7
"Overdrive",2023,410,"36",14780425,36,32,140,"Major",73,0,35,4
"Enchanted (Taylor's Version)",2023,148,"24",39578178,32,93,82,"Major",53,0,15,3
"BABY HELLO",2023,1004,"35",54266102,42,80,130,"Minor",89,0,43,5
"Heat Waves",2020,22543,"63",2557975762,386,144,81,"Major",53,0,9,9
"golden hour",2022,4511,"36",751134527,70,58,94,"Minor",59,18,25,3
"Sweater Weather",2012,16413,"61",2282771485,166,87,124,"Major",81,2,10,3
"Quevedo: Bzrp Music Sessions, Vol. 52",2022,8506,"45",1356565093,94,65,128,"Major",78,3,23,4
"Viva La Vida",2008,33898,"62",1592909789,233,0,138,"Minor",62,0,11,3
"Here With Me",2022,3246,"23",635412045,94,85,132,"Major",48,0,12,3
"Unholy (feat. Kim Petras)",2022,8576,"42",1230675890,216,108,131,"Major",47,0,27,9
"Yandel 150",2022,3618,"38",585695368,47,74,168,"Minor",73,0,10,7
"CORAZoN VA",2023,370,"20",43857627,12,16,98,"Major",79,0,30,6
"Riptide",1975,31123,"55",2009094673,300,65,102,"Major",73,0,15,4
"Until I Found You (with Em Beihold) - Em Beihold Version",2022,2790,"30",600976848,60,96,101,"Major",57,0,20,3
"Novidade na",2023,267,"9",39709092,9,6,130,"Major",34,0,35,9
"Back To December (Taylor's Version)",2023,139,"17",39228929,16,72,142,"Major",64,0,12,3
"STAY (with Justin Bieber)",2021,17050,"36",2665343922,492,99,170,"Major",76,0,10,5
"El Merengue",2023,2114,"44",223633238,80,75,124,"Minor",68,1,11,4
"Someone You Loved",2018,17836,"53",2887241814,440,125,110,"Major",41,0,11,3
"Me Porto Bonito",2022,8870,"43",1440757818,104,120,92,"Minor",71,0,9,8
"Makeba",2015,6060,"53",165484133,150,148,116,"Major",66,51,25,7
"MONTAGEM - FR PUNK",2012,641,"50",58054811,1,52,129,"Major",82,8,9,7
"Fast Car",2023,1446,"12",157058870,57,97,98,"Major",60,0,12,3
"What It Is (Solo Version)",2023,804,"25",95131998,29,76,172,"Minor",76,0,10,9
"Coco Chanel",2023,1962,"38",250305248,28,89,150,"Major",76,0,10,4
"Dont Bl",2017,4875,"23",685032533,19,45,136,"Minor",53,0,6,4
"Still With You",2020,31,"39",38411956,2,107,88,"Minor",47,0,83,4
"All My Life (feat. J. Cole)",2023,2175,"23",144565150,69,145,143,"Major",44,0,10,33
"Say Yes To Heaven",2023,2000,"46",127567540,49,105,100,"Minor",35,9,11,3
"Snooze",2022,2839,"25",399686758,58,156,143,"Major",55,0,11,13
"Summertime Sadness",2011,20333,"52",983637508,89,143,112,"Minor",66,0,12,3
"Take Two",2023,674,"47",118482347,20,106,93,"Major",59,0,38,3
"Lover",2012,8448,"23",882831184,160,110,206,"Major",55,0,15,10
"Too Many Nights (feat. Don Toliver & with Future)",2022,2110,"58",286400165,17,119,88,"Minor",71,0,11,5
"Chemical",2023,2528,"39",172825906,56,91,170,"Major",90,0,12,5
"Mockingbird",2004,12985,"61",1241559043,49,98,84,"Minor",67,0,13,28
"New Jeans",2023,77,"35",29562220,8,166,134,"Minor",72,0,12,5
"Primera Cita",2022,266,"27",77309611,6,40,158,"Major",40,0,10,6
"Cold Heart - PNAU Remix",2017,21097,"52",1605224506,384,135,116,"Major",80,0,10,3
"Dandelions",2017,3423,"21",1116995633,41,100,117,"Major",69,0,9,3
"Bones",2021,4198,"44",838079900,98,108,114,"Minor",72,0,7,5
"Set Fire to the Rain",2011,14739,"43",1163620694,88,112,108,"Minor",68,0,13,3
"Money Trees",2012,26792,"32",1093605526,69,113,144,"Minor",53,0,21,10
"Tak Segampang Itu",2022,213,"6",179659294,7,6,130,"Major",44,0,11,3
"LAGUNAS",2023,58,"18",39058561,2,106,116,"Major",62,1,15,3
"Mine (Taylor's Version)",2023,99,"15",36912123,21,52,121,"Major",78,0,17,4
"Everybody Wants To Rule The World",1985,41751,"25",1205951614,101,32,112,"Major",81,0,11,6
"No Role Modelz",2014,21164,"36",1791000570,80,65,100,"Minor",52,0,6,33
"Tattoo",2023,2988,"59",201660859,74,102,150,"Minor",78,0,12,8
"Rara Vez",2023,893,"38",248088961,19,23,120,"Minor",71,0,34,17
"VAGABUNDO",2023,1094,"34",90839753,40,58,127,"Minor",85,0,23,6
"august",2020,7324,"22",607123776,25,81,90,"Major",61,0,9,3
"LUNA",2023,201,"11",55842345,19,117,128,"Minor",63,0,15,4
"Miracle (with Ellie Goulding)",2023,5120,"48",211050784,161,115,143,"Major",87,4,8,4
"Nonsense",2022,2346,"27",342897938,69,12,139,"Major",68,0,26,4
"Que Vuelvas",2022,763,"26",2762,21,110,162,"Major",64,0,11,4
"Por las Noches",2021,457,"24",330346424,8,116,92,"Major",60,0,7,3
"Feliz Cumpleaos Fe",2022,3430,"38",601863821,45,69,95,"Major",55,0,29,7
"Can't Hold Us (feat. Ray Dalton)",2011,6074,"52",1953533826,201,44,146,"Major",93,0,10,8
"Watermelon Sugar",2019,21915,"34",2322580122,437,115,95,"Major",82,0,34,5
"lovely - Bonus Track",2017,15032,"30",2355719893,221,96,115,"Minor",30,0,10,3
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023,871,"32",66902503,25,59,128,"Major",65,0,26,5
"Queencard",2023,451,"33",96273746,10,126,130,"Minor",83,0,27,5
"OMG",2023,1783,"27",430977451,26,124,127,"Minor",77,0,11,4
"Radio",2011,9389,"46",284819874,24,122,150,"Major",86,0,9,9
"Shakira: Bzrp Music Sessions, Vol. 53",2023,5724,"44",721975598,119,108,122,"Minor",63,0,9,5
"505",2007,13985,"25",1217120710,30,80,140,"Major",85,0,7,5
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",2023,1051,"16",109276132,31,37,140,"Major",54,0,12,8
"Trance (with Travis Scott & Young Thug)",2022,1682,"46",276259178,24,90,119,"Minor",53,0,18,34
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",2023,182,"8",54225632,3,88,110,"Minor",72,0,9,4
"Perfect",2017,16596,"13",2559529074,7,0,95,"Major",45,0,11,2
"Romantic Homicide",2022,2335,"23",681583126,82,55,132,"Major",55,1,32,3
"Believer",2017,18986,"23",2594040133,250,121,125,"Minor",78,0,23,11
"Novo Balan",2023,283,"7",81102253,6,9,124,"Minor",50,0,13,6
"Gol Bolinha, Gol Quadrado 2",2023,293,"8",11956641,5,2,133,"Minor",65,0,12,25
"Without Me",2002,21081,"43",1687664027,98,76,112,"Major",66,0,36,9
"QUEMA",2023,437,"31",11599388,17,29,97,"Major",89,0,6,5
"Stargirl Interlude",2016,1275,"32",611700552,13,8,90,"Minor",48,5,10,11
"Ojitos Lindos",2022,6135,"38",1133865788,71,113,80,"Minor",69,0,53,4
"Somewhere Only We Know",2004,20015,"16",1089402494,107,69,172,"Major",59,0,8,3
"Those Eyes",2019,1507,"14",411747614,24,71,120,"Major",35,0,31,3
"El Gordo Trae El Mando",2023,539,"21",255932395,7,71,140,"Minor",80,0,5,5
"Mi Bello Angel",2023,86,"8",31873544,7,76,128,"Minor",77,0,9,5
"Bye",2023,324,"14",95053634,13,110,122,"Major",81,0,10,5
"Danza Kuduro",2010,17138,"37",1279434863,119,81,130,"Major",92,0,5,24
"Nosso Quadro",2023,894,"9",233801632,14,88,160,"Major",71,0,31,20
"Locked Out Of Heaven",2012,1622,"9",1481349984,0,0,144,"Major",70,0,28,5
"Un Finde | CROSSOVER #2",2023,561,"14",142095275,4,14,192,"Major",52,0,28,6
"Jimmy Cooks (feat. 21 Savage)",2022,5871,"27",618885532,81,121,163,"Major",67,0,9,17
"Counting Stars",2013,29215,"43",2011464183,179,97,122,"Minor",71,0,12,4
"Ghost",2021,5866,"24",1167330737,107,38,154,"Major",74,0,40,6
"Under The Influence",2019,3859,"26",929964809,133,181,117,"Minor",69,0,11,4
"PRC",2023,961,"26",436027885,19,143,138,"Minor",83,0,12,5
"Gasolina",2004,6457,"18",657723613,98,95,96,"Major",80,0,8,6
"One Dance",2016,43257,"24",2713922350,433,107,104,"Major",63,0,36,5
"Enchanted",2010,4564,"16",621660989,24,101,164,"Major",62,0,16,3
"Save Your Tears",2020,12688,"13",1591223784,197,115,118,"Major",82,0,50,3
"Sure Thing",2010,13801,"19",950906471,137,125,81,"Minor",60,0,19,10
"Every Breath You Take - Remastered 2003",1983,22439,"19",1593270737,211,74,117,"Major",45,0,7,3
"The Night We Met",2015,18515,"35",1410088830,70,82,174,"Major",37,25,64,4
"We Found Love",2011,36843,"21",1235005533,321,91,128,"Major",77,0,11,4
"When I Was Your Man",2012,2420,"11",1661187319,0,0,145,"Major",27,0,14,4
"Let Me Down Slowly",2018,5897,"19",1374581173,0,0,150,"Minor",55,0,14,3
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",2023,727,"16",94186466,17,60,90,"Minor",53,0,21,4
"Do I Wanna Know?",2013,33783,"26",1788326445,133,92,85,"Major",53,0,22,3
"Demons",2012,26694,"13",1840364617,65,82,180,"Major",71,0,28,5
"da",2023,356,"16",143573775,35,102,166,"Major",94,0,37,9
"Reminder",2016,6518,"17",684675814,45,85,160,"Major",50,0,16,22
"Shake It Off",2014,21335,"13",1113838873,328,70,160,"Major",80,0,41,16
"Why'd You Only Call Me When You're High?",2013,23389,"29",1267333350,54,70,92,"Major",63,0,8,4
"SNAP",2022,3202,"18",726307468,148,80,170,"Major",64,0,45,6
"Shape of You",2017,32181,"10",3562543890,33,0,96,"Minor",65,0,9,8
"Night Changes",2014,7124,"18",1131090940,60,20,120,"Major",52,0,12,4
"Fin de Semana",2023,592,"14",307370144,11,84,98,"Major",54,0,9,8
"Creep",1992,36724,"7",1271293243,146,72,92,"Major",34,0,12,4
"Car's Outside",2019,794,"10",265882712,38,25,150,"Major",56,0,11,3
"Apocalypse",2017,13091,"17",841749534,61,96,94,"Major",47,46,11,3
"Cheques",2023,67,"8",47956378,7,10,90,"Minor",63,0,27,5
"Pink + White",2016,21574,"30",806397070,112,68,160,"Major",55,0,42,11
"Circles",2019,19664,"16",2132335812,391,73,120,"Major",75,0,9,4
"Just The Way You Are",2010,21106,"13",1641426668,82,0,109,"Major",85,0,9,5
"Take Me To Church",2013,23804,"31",2135158446,187,99,129,"Minor",66,0,12,5
"Bebe Dame",2022,849,"22",367316268,27,129,157,"Major",60,0,7,5
"You Belong With Me (Taylors Ve",2021,2619,"12",350381515,47,90,130,"Major",73,0,9,3
"Titi Me Pregunt",2022,9037,"42",1264310836,124,133,107,"Minor",72,0,13,25
"Better Than Revenge (Taylor's Version)",2023,86,"11",30343206,3,33,146,"Minor",89,0,19,8
"Shut up My Moms Calling",2020,1788,"14",405136812,1,50,139,"Minor",41,0,10,10
"Have You Ever Seen The Rain?",1968,15890,"14",1145727611,71,37,116,"Major",70,0,13,3
"Es un Secreto",2010,492,"36",540654286,4,3,95,"Minor",77,0,7,4
"POLARIS - Remix",2023,773,"33",57312735,20,46,170,"Minor",80,0,37,7
"Ditto",2022,1154,"22",397582059,28,125,134,"Minor",64,0,10,11
"Take On Me",1984,44927,"17",1479115056,34,0,84,"Minor",90,0,9,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",2023,551,"4",86773632,13,46,146,"Minor",48,0,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",2023,577,"14",133753727,22,18,74,"Minor",67,0,10,28
"Acrs",2023,955,"29",123124076,37,50,144,"Major",48,0,10,12
"AMG",2022,995,"19",463564958,12,117,136,"Minor",73,0,27,10
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",2023,178,"6",64533040,6,71,100,"Major",55,0,12,4
"S-Class",2023,290,"19",65496046,9,101,105,"Minor",78,0,7,33
"Hits Different",2023,547,"0",68616963,15,15,106,"Major",78,0,30,4
"Chanel",2023,681,"10",161460990,15,92,132,"Major",68,0,9,4
"Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)",2023,332,"5",70106975,18,41,120,"Major",30,0,13,5
"Area Codes",2023,1197,"13",113509496,44,34,155,"Major",39,0,9,49
"Abcdario",2023,262,"5",89933133,8,60,129,"Major",43,0,11,3
"Obsessed",2022,161,"6",71007139,10,79,135,"Minor",74,0,8,9
"Pioman Deo",2023,185,"3",43522589,5,6,98,"Minor",62,0,13,13
"FLOWER",2023,839,"18",232896922,20,110,124,"Minor",39,0,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",2023,259,"0",37126685,5,17,135,"Minor",55,0,22,15
"Eyes Closed",2023,2915,"30",195576623,116,69,107,"Major",53,0,11,6
"Escapism.",2022,5129,"25",532336353,116,84,96,"Major",74,0,9,11
"La Jumpa",2022,3794,"34",538115192,47,77,123,"Major",70,0,32,19
"Karma (feat. Ice Spice)",2023,588,"0",46142772,23,21,90,"Major",62,0,58,6
"Superhero (Heroes & Villains) [with Future & Chris Brown]",2022,2959,"16",401036314,41,69,117,"Minor",59,0,20,21
"Las Morras",2023,291,"8",127026613,8,78,133,"Minor",84,0,7,4
"CHORRITO PA LAS ANIMAS",2022,2321,"36",345031710,29,65,96,"Minor",83,0,35,6
"Ch y la Pizza",2022,536,"10",288101651,10,72,149,"Major",60,0,14,13
"Snow On The Beach (feat. More Lana Del Rey)",2023,359,"2",60350538,1,0,110,"Minor",40,0,11,3
"Players",2022,4096,"6",335074782,118,48,105,"Major",52,0,5,16
"Bite Me",2023,349,"69",76767396,8,96,105,"Major",78,0,11,14
"Stand By Me (feat. Morgan Wallen)",2023,381,"5",46065667,23,82,134,"Major",58,0,16,3
"Normal",2022,2461,"36",459276435,47,66,170,"Minor",56,0,27,12
"Hummingbird (Metro Boomin & James Blake)",2023,277,"1",39666245,1,20,81,"Major",60,1,25,13
"Seu Brilho Sumiu - Ao Vivo",2023,967,"5",138517666,7,29,154,"Major",92,0,91,5
"Bad Habit",2022,8186,"12",822633917,155,72,169,"Major",51,0,38,4
"CUFF IT",2022,7842,"10",595900742,215,88,115,"Major",69,0,7,14
"Lilith (feat. SUGA of BTS) (Diablo IV Anthem)",2023,215,"6",51985779,6,14,84,"Minor",74,0,19,8
"69",2023,1134,"22",57945987,39,14,93,"Major",62,0,11,23
"Nioa Bo",2023,1305,"34",115010040,29,26,91,"Major",62,0,10,15
"Search & Rescue",2023,2066,"6",175097833,58,70,142,"Minor",44,0,33,7
"AMERICA HAS A PROBLEM (feat. Kendrick Lamar)",2023,896,"0",57089066,34,2,126,"Major",70,0,16,4
"Lavender Haze",2022,3763,"8",488386797,51,43,97,"Major",44,0,16,8
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",2023,197,"0",32761689,3,10,101,"Major",51,51,26,8
"Efecto",2022,4004,"33",1047480053,34,65,98,"Minor",48,0,6,5
"Erro Gostoso - Ao Vivo",2023,984,"5",153454328,8,57,154,"Major",89,0,80,9
"Cupido",2023,1240,"24",217672943,51,29,120,"Major",58,0,31,22
"Just Wanna Rock",2022,3995,"13",457184829,72,27,150,"Major",55,0,6,3
"Unstoppable",2016,7681,"13",939844851,119,66,174,"Major",78,0,10,8
"Until I Found You",2021,4427,"4",726434358,69,100,202,"Major",51,0,18,4
"Rich Flex",2022,4657,"18",573633020,84,84,153,"Minor",52,0,36,24
"Easy On Me",2021,10195,"20",1406111294,258,87,142,"Major",37,0,13,3
"Cartooo B",2023,269,"4",71573339,7,2,108,"Minor",47,0,20,64
"Danger (Spider) (Offset & JID)",2023,214,"0",24975653,3,3,143,"Major",69,0,23,12
"Oi Balde - Ao Vivo",2023,845,"2",145458418,12,57,108,"Major",67,0,80,5
"The Real Slim Shady",2000,20763,"27",1424589568,81,53,104,"Minor",66,0,4,6
"MERCHO",2022,1267,"20",231332117,41,22,93,"Minor",79,0,18,11
"The Color Violet",2021,2585,"32",415932686,3,79,105,"Minor",53,0,9,5
"Glimpse of Us",2022,6330,"6",988515741,109,42,170,"Major",32,0,14,5
"Mejor Que Yo",2023,675,"1",50847624,9,13,178,"Minor",66,0,12,5
"Curtains",2023,715,"0",39893489,37,3,176,"Minor",76,0,32,5
"UNFORGIVEN (feat. Nile Rodgers)",2023,327,"13",92035115,14,110,104,"Minor",88,0,11,5
"Haegeum",2023,244,"12",118810253,6,84,85,"Major",84,0,47,30
"Conexooes de Moofia (feat. Rich ",2023,385,"4",77233241,17,7,117,"Minor",58,0,26,5
"MIENTRAS ME CURO DEL CORA",2023,1020,"35",206399629,15,26,80,"Major",48,0,15,39
"Never Felt So Alone",2023,1730,"3",117747907,46,5,98,"Major",41,0,38,5
"X SI VOLVEMOS",2023,2127,"33",266624541,45,80,178,"Minor",78,0,11,25
"ceilings",2022,3242,"9",293186992,67,55,148,"Major",33,0,22,3
"Cupid",2023,526,"10",139681964,15,93,120,"Major",66,0,38,3
"I AM",2023,366,"15",123132751,16,102,122,"Minor",88,0,8,5
"Cupid ooo Twin Ver. (FIFTY FIFTY) ooo Spe",1997,472,"2",103762518,0,0,144,"Major",73,0,9,4
"Shorty Party",2023,432,"12",162887075,8,14,96,"Major",47,0,10,36
"Super",2023,271,"12",91221625,16,103,137,"Major",88,0,17,9
"Slut Me Out",2022,816,"4",190490915,21,4,121,"Minor",61,0,53,42
"Double Fantasy (with Future)",2023,1169,"0",96180277,36,65,119,"Minor",57,0,50,3
"All Of The Girls You Loved Before",2019,1282,"6",185240616,26,6,96,"Major",47,0,13,4
"PROVENZA",2022,6587,"34",885093467,114,104,111,"Major",52,1,11,5
"Princess Diana (with Nicki Minaj)",2023,1444,"4",104992946,0,0,148,"Major",68,0,10,19
"Di Que Si",2023,356,"10",147290338,4,64,182,"Major",59,0,6,5
"Shivers",2021,10147,"30",1302184087,234,71,141,"Major",86,0,4,9
"Igualito a Mi Apo",2022,265,"6",158950978,8,84,145,"Minor",81,0,6,9
"Shoong! (feat. LISA of BLACKPINK)",2023,351,"9",76910644,16,90,110,"Minor",70,0,41,6
"Komang",2022,158,"4",137123880,5,6,134,"Major",41,0,10,3
"DESPECHo",2022,7613,"33",782369383,180,90,130,"Major",62,0,6,10
"Made You Look",2022,3956,"6",502574952,142,23,145,"Major",53,0,8,7
"Watch This - ARIZONATEARS Pluggnb Remix",2023,1638,"10",207033255,0,0,130,"Minor",90,10,15,4
"No Se Va",2022,924,"18",404887295,17,80,173,"Major",53,0,23,3
"Punto G",2022,1985,"35",381161027,34,26,92,"Minor",76,0,10,15
"Lovers Rock",2014,6339,"13",466231982,3,1,105,"Minor",87,1,10,4
"METAMORPHOSIS",2021,1561,"24",357580552,18,78,175,"Minor",64,90,12,10
"Mami Chula",2023,875,"4",61105704,17,13,120,"Minor",70,0,9,4
"En Paris",2022,406,"5",198275403,3,31,139,"Minor",48,0,12,5
"Set Me Free Pt.2",2023,340,"13",168448603,4,71,132,"Minor",82,0,12,6
"I Was Never There",2018,4188,"15",705469769,30,70,114,"Major",74,0,17,3
"Don't ever say love me (feat. RM of BTS)",2023,105,"0",34502215,5,9,145,"Minor",48,0,37,5
"Shut Down",2022,1524,"17",482175240,53,120,110,"Major",69,0,18,4
"Gato de Noche",2022,2651,"30",304118600,21,55,94,"Major",66,0,36,16
"Call Out My Name",2018,11087,"6",1449799467,151,107,134,"Major",60,0,33,4
"Like Crazy (English Version)",2023,373,"19",173627354,4,72,120,"Major",76,0,39,4
"Rosa Pastel",2023,200,"4",90025258,8,77,123,"Minor",68,0,11,4
"Sunroof",2021,3741,"17",652704649,156,35,131,"Major",71,0,15,4
"Lose Yourself - Soundtrack Version",2002,32502,"21",1829992958,247,54,171,"Major",73,0,36,26
"Superman",2002,7615,"14",655466831,18,51,130,"Minor",76,0,20,6
"Mas Rica Que Ayer",2023,1208,"34",146409671,10,41,94,"Major",67,0,9,8
"People Pt.2 (feat. IU)",2023,209,"4",95816024,4,45,89,"Minor",57,0,32,6
"REMIX EXCLUSIVO",2023,1235,"9",117206995,20,8,87,"Minor",56,0,15,20
"Arcoongel: Bzrp Music Sessions, Vol",2023,654,"3",100409613,11,3,124,"Minor",78,0,15,30
"DOGTOOTH",2023,1479,"0",80758350,23,0,78,"Major",65,0,22,32
"10:35",2022,4942,"26",325592432,190,104,120,"Major",79,0,18,10
"SORRY NOT SORRY",2023,709,"0",58473276,8,1,96,"Minor",80,0,37,20
"HAPPY",2023,660,"0",52722996,22,7,106,"Major",86,0,12,4
"La Bebe",2021,489,"17",191945597,4,11,170,"Minor",46,0,12,35
"I Know - PR1SVX Edit",2023,407,"0",77377503,16,15,134,"Minor",76,47,30,7
"Late Night Talking",2022,7461,"8",743693613,166,42,115,"Major",73,0,11,5
"Leo",2022,993,"4",267789608,30,84,130,"Major",87,0,30,3
"Save Your Tears (with Ariana Grande) (Remix)",2020,9161,"5",1221813483,240,98,118,"Major",79,0,10,3
"Something in the Orange",2022,3282,"12",449701773,67,84,110,"Major",38,0,12,3
"VOID",2023,596,"0",67070410,29,9,100,"Major",66,4,19,4
"Dijeron Que No La Iba Lograr",2023,320,"6",116334601,5,48,142,"Minor",79,0,11,7
"Midnight Rain",2022,2612,"4",433356509,19,29,140,"Major",37,0,12,7
"If We Ever Broke Up",2023,2040,"4",165584767,81,27,116,"Major",73,0,9,4
"You Proof",2022,2128,"9",367814306,37,88,120,"Major",85,0,61,3
"LA INOCENTE",2022,2598,"37",477033549,28,57,92,"Minor",79,0,7,6
"Malas Decisiones",2022,542,"2",156214700,23,2,110,"Minor",79,0,31,3
"Murder In My Mind",2022,2459,"20",448843705,20,68,120,"Major",97,0,13,11
"Gangsta's Paradise",1995,10624,"17",1357608774,21,0,80,"Major",61,0,56,6
"CAIRO",2022,2418,"26",294352144,52,66,115,"Minor",69,0,9,31
